,name,company,year,selling_price,km_driven,fuel,seller_type,transmission,owner
61,Mahindra Jeep CL,Mahindra,1996,250000,35000,Diesel,Individual,Manual,Second Owner
62,Honda City i,Honda,2014,675000,90000,Diesel,Dealer,Manual,First Owner
63,Maruti Wagon R,Maruti,2013,300000,80000,Petrol,Dealer,Manual,First Owner
64,Tata Indica DLS,Tata,2005,70000,80000,Diesel,Individual,Manual,First Owner
65,Hyundai EON Magna,Hyundai,2014,240000,73300,Petrol,Dealer,Manual,Second Owner
66,Toyota Etios GD,Toyota,2014,525000,92000,Diesel,Dealer,Manual,First Owner
67,Maruti Alto LXi,Maruti,2009,151000,66764,Petrol,Dealer,Manual,Second Owner
68,Maruti Alto LXi,Maruti,2009,140000,100000,Petrol,Individual,Manual,First Owner
69,Chevrolet Tavera Neo,Chevrolet,2010,280000,350000,Diesel,Individual,Manual,Second Owner
70,Toyota Corolla Altis,Toyota,2011,350000,230000,Diesel,Individual,Manual,First Owner
71,Mahindra Scorpio 1.99,Mahindra,2017,570000,60000,Diesel,Individual,Manual,First Owner
72,Hyundai EON Magna,Hyundai,2018,300000,31000,Petrol,Individual,Manual,First Owner
73,Tata Indigo Classic,Tata,2007,100000,39000,Diesel,Individual,Manual,First Owner
74,Toyota Innova 2.5,Toyota,2009,500000,120000,Diesel,Individual,Manual,Third Owner
75,Tata Indica Vista,Tata,2014,125000,166000,Diesel,Individual,Manual,Fourth & Above Owner
76,Maruti Swift 1.3,Maruti,2006,130000,110000,Petrol,Individual,Manual,Third Owner
77,Ford EcoSport 1.5,Ford,2017,925000,35000,Diesel,Individual,Manual,First Owner
78,Maruti Ciaz 1.3,Maruti,2018,750000,60000,Diesel,Individual,Manual,First Owner
79,Honda Civic 1.8,Honda,2007,200000,54000,Petrol,Individual,Automatic,Second Owner
80,Hyundai i10 Sportz,Hyundai,2010,248000,63000,Petrol,Individual,Manual,Second Owner
81,Skoda Rapid 1.5,Skoda,2014,450000,120000,Diesel,Individual,Manual,Second Owner
82,Hyundai Getz GLS,Hyundai,2005,80000,120000,Petrol,Individual,Manual,Third Owner
83,Nissan Terrano XL,Nissan,2014,650000,76000,Petrol,Individual,Manual,Second Owner
84,Hyundai Grand i10,Hyundai,2015,450000,80000,Diesel,Individual,Manual,First Owner
85,Hyundai Elite i20,Hyundai,2019,650000,25000,Diesel,Individual,Manual,First Owner
86,Honda Amaze S,Honda,2016,495000,11958,Petrol,Dealer,Manual,First Owner
87,Honda Brio S,Honda,2015,371000,20000,Petrol,Dealer,Manual,First Owner
88,Hyundai Creta 1.6,Hyundai,2017,1025000,9000,Petrol,Dealer,Manual,First Owner
89,Mahindra XUV500 W8,Mahindra,2015,750000,70000,Diesel,Individual,Manual,First Owner
90,Renault Duster 85PS,Renault,2013,600000,120000,Diesel,Individual,Manual,First Owner
91,Hyundai Santro Xing,Hyundai,2007,80000,58000,Petrol,Dealer,Manual,Second Owner
92,Mahindra Bolero 2011-2019,Mahindra,2013,325000,62200,Diesel,Dealer,Manual,First Owner
93,Audi A6 2.0,Audi,2014,1470000,34000,Diesel,Dealer,Automatic,Second Owner
94,Fiat Avventura MULTIJET,Fiat,2015,350000,53000,Diesel,Individual,Manual,Second Owner
95,Audi A8 4.2,Audi,2013,2800000,49000,Diesel,Dealer,Automatic,First Owner
96,Datsun RediGO 1.0,Datsun,2017,210000,15000,Petrol,Dealer,Manual,Second Owner
97,Volkswagen Jetta 1.4,Volkswagen,2013,450000,50000,Petrol,Individual,Manual,First Owner
98,Audi A4 2.0,Audi,2013,1150000,53000,Diesel,Dealer,Automatic,First Owner
99,Honda Civic 1.8,Honda,2009,210000,63500,Petrol,Dealer,Automatic,First Owner
100,Mercedes-Benz E-Class Exclusive,Mercedes-Benz,2018,4500000,9800,Petrol,Dealer,Automatic,First Owner
101,BMW X1 sDrive,BMW,2017,2750000,13000,Diesel,Individual,Automatic,First Owner
102,Volvo V40 D3,Volvo,2018,1975000,21000,Diesel,Dealer,Automatic,First Owner
103,Maruti SX4 Zxi,Maruti,2008,175000,29173,Petrol,Dealer,Manual,First Owner
104,BMW 7 Series,BMW,2012,2500000,48000,Diesel,Dealer,Automatic,First Owner
105,Mahindra Bolero Power,Mahindra,2017,628000,120000,Diesel,Individual,Manual,First Owner
106,Hyundai Sonata CRDi,Hyundai,2010,600000,100000,Diesel,Individual,Manual,First Owner
107,Nissan Micra Active,Nissan,2017,399000,30000,Petrol,Individual,Manual,First Owner
108,Mahindra Xylo D4,Mahindra,2018,750000,87000,Diesel,Individual,Manual,First Owner
109,Hyundai Elite i20,Hyundai,2019,750000,15000,Petrol,Individual,Manual,First Owner
110,Renault KWID RXT,Renault,2017,315000,16000,Petrol,Individual,Manual,First Owner
111,Mahindra Xylo E4,Mahindra,2012,600000,60000,Diesel,Individual,Manual,First Owner
112,Maruti Wagon R,Maruti,2010,100000,60000,Petrol,Individual,Manual,Fourth & Above Owner
113,Maruti SX4 ZXI,Maruti,2011,250000,110000,Petrol,Individual,Manual,Third Owner
114,Renault KWID RXT,Renault,2017,350000,25000,Petrol,Individual,Manual,First Owner
115,Hyundai Creta 1.4,Hyundai,2016,780000,60000,Diesel,Individual,Manual,First Owner
116,Maruti Swift Dzire,Maruti,2014,434000,79350,Diesel,Individual,Manual,Second Owner
117,Hyundai Verna 1.6,Hyundai,2016,690000,80000,Petrol,Individual,Automatic,First Owner
118,Mahindra Scorpio LX,Mahindra,2014,555000,90000,Diesel,Individual,Manual,Second Owner
119,Maruti SX4 Vxi,Maruti,2007,120000,90000,Petrol,Individual,Manual,Second Owner
120,Maruti Ertiga VDI,Maruti,2014,500000,120000,Diesel,Individual,Manual,Second Owner
121,Chevrolet Beat Diesel,Chevrolet,2013,165000,60000,Diesel,Individual,Manual,Second Owner
122,Maruti Zen LX,Maruti,2004,95000,50000,Petrol,Individual,Manual,First Owner
123,Maruti Baleno Delta,Maruti,2018,550000,20000,Petrol,Individual,Manual,First Owner
124,Maruti Swift Vdi,Maruti,2007,100000,110000,Diesel,Individual,Manual,Fourth & Above Owner
125,Tata Nano Lx,Tata,2012,100000,50000,Petrol,Individual,Manual,Second Owner
126,Toyota Innova 2.5,Toyota,2012,500000,100000,Diesel,Individual,Manual,First Owner
127,Maruti Ertiga SHVS,Maruti,2016,800000,70000,Diesel,Individual,Manual,Second Owner
128,Hyundai Creta 1.6,Hyundai,2016,840000,70000,Diesel,Individual,Manual,Second Owner
129,Honda Amaze S,Honda,2016,490000,50000,Petrol,Individual,Manual,First Owner
130,Tata Indica Vista,Tata,2010,125000,81000,Diesel,Individual,Manual,Second Owner
131,Chevrolet Tavera Neo,Chevrolet,2012,400000,120000,Diesel,Individual,Manual,Third Owner
132,Chevrolet Cruze LTZ,Chevrolet,2015,1000000,3600,Diesel,Dealer,Manual,First Owner
133,Ford Figo Aspire,Ford,2015,530000,14272,Petrol,Dealer,Manual,First Owner
134,Ford EcoSport 1.5,Ford,2017,840000,49213,Diesel,Dealer,Manual,First Owner
135,Hyundai i10 Sportz,Hyundai,2015,229999,40000,Petrol,Individual,Manual,First Owner
136,Maruti 800 Std,Maruti,1998,40000,40000,Petrol,Individual,Manual,Fourth & Above Owner
137,Chevrolet Spark 1.0,Chevrolet,2012,130000,80000,Petrol,Individual,Manual,First Owner
138,Hyundai EON Era,Hyundai,2015,200000,70000,Petrol,Individual,Manual,First Owner
139,Tata Indica Vista,Tata,2011,120000,70000,Diesel,Individual,Manual,First Owner
140,Hyundai Santro LP,Hyundai,2003,75000,57000,Petrol,Individual,Manual,First Owner
141,Tata Bolt Quadrajet,Tata,2016,250000,120000,Diesel,Individual,Manual,First Owner
142,Maruti 800 AC,Maruti,2005,100000,30000,Petrol,Individual,Manual,First Owner
143,Hyundai EON Era,Hyundai,2013,280000,3240,Petrol,Individual,Manual,Second Owner
144,Hyundai i20 Magna,Hyundai,2015,540000,5000,Petrol,Individual,Manual,First Owner
145,Hyundai i20 1.2,Hyundai,2018,700000,10000,Petrol,Individual,Manual,First Owner
146,Maruti Ciaz VDi,Maruti,2015,525000,100000,Diesel,Individual,Manual,First Owner
147,Hyundai i20 Asta,Hyundai,2016,430000,80000,Diesel,Individual,Manual,First Owner
148,Hyundai Santro LE,Hyundai,2002,65000,70000,Petrol,Individual,Manual,First Owner
149,Maruti Vitara Brezza,Maruti,2018,800000,35000,Diesel,Individual,Manual,First Owner
150,Hyundai Santro Xing,Hyundai,2007,75000,114000,Petrol,Individual,Manual,Second Owner
151,Hyundai Getz 1.3,Hyundai,2008,210000,53772,Petrol,Individual,Manual,First Owner
152,Mahindra Quanto C8,Mahindra,2012,195000,140000,Diesel,Individual,Manual,Second Owner
153,Chevrolet Tavera Neo,Chevrolet,2015,400000,120000,Diesel,Individual,Manual,First Owner
154,Hyundai EON Magna,Hyundai,2012,170000,60000,Petrol,Individual,Manual,First Owner
155,Renault KWID RXT,Renault,2016,225000,25000,Petrol,Individual,Manual,First Owner
156,Maruti Wagon R,Maruti,2014,210000,90000,LPG,Individual,Manual,First Owner
157,Maruti Wagon R,Maruti,2020,240000,120000,Petrol,Individual,Manual,First Owner
158,Chevrolet Enjoy 1.3,Chevrolet,2015,300000,175000,Diesel,Individual,Manual,First Owner
159,Chevrolet Spark 1.0,Chevrolet,2011,99000,100000,Petrol,Individual,Manual,Third Owner
160,Honda City i,Honda,2014,620000,36000,Petrol,Individual,Manual,First Owner
161,Honda Amaze VX,Honda,2013,500000,30000,Diesel,Individual,Manual,First Owner
162,Jaguar XJ 5.0,Jaguar,2010,2550000,40000,Petrol,Individual,Automatic,Second Owner
163,Honda Brio E,Honda,2013,260000,70000,Petrol,Individual,Manual,Second Owner
164,Maruti Swift VVT,Maruti,2017,550000,60000,Petrol,Individual,Manual,First Owner
165,Tata Indigo CR4,Tata,2011,150000,155500,Diesel,Individual,Manual,First Owner
166,Hyundai i10 Asta,Hyundai,2011,350000,50000,Petrol,Individual,Automatic,Second Owner
167,Chevrolet Beat LT,Chevrolet,2016,320000,40000,Petrol,Individual,Manual,First Owner
168,Maruti Swift VDI,Maruti,2015,400000,100000,Diesel,Individual,Manual,Third Owner
169,Maruti Alto LXi,Maruti,2012,175000,80000,Petrol,Individual,Manual,Third Owner
170,Chevrolet Beat LT,Chevrolet,2011,120000,90000,Petrol,Individual,Manual,Second Owner
171,Renault Duster 110PS,Renault,2013,320000,90000,Diesel,Individual,Manual,Second Owner
172,Hyundai Santro Xing,Hyundai,2006,70000,110000,Petrol,Individual,Manual,Third Owner
173,Maruti Swift Dzire,Maruti,2019,810000,15000,Petrol,Individual,Manual,First Owner
174,Maruti 800 AC,Maruti,2007,95000,100000,Petrol,Individual,Manual,Second Owner
175,Maruti Alto K10,Maruti,2020,282000,40000,CNG,Individual,Manual,First Owner
176,Maruti 800 Std,Maruti,2004,80000,60000,Petrol,Individual,Manual,Second Owner
177,Tata Nano LX,Tata,2013,72000,25000,Petrol,Individual,Manual,First Owner
178,Hyundai i20 Magna,Hyundai,2016,600000,25000,Petrol,Individual,Manual,First Owner
179,Skoda Rapid 1.6,Skoda,2015,640000,23000,Petrol,Individual,Manual,First Owner
180,Maruti Alto K10,Maruti,2018,380000,22155,Petrol,Individual,Manual,First Owner
181,Maruti Ciaz 1.4,Maruti,2018,650000,70000,Petrol,Individual,Manual,First Owner
182,Maruti Alto LX,Maruti,2009,150000,60000,Petrol,Individual,Manual,Second Owner
183,Hyundai i20 Asta,Hyundai,2009,280000,110000,Petrol,Individual,Manual,Second Owner
184,Tata Nexon 1.2,Tata,2018,430000,30000,Petrol,Individual,Manual,First Owner
185,Mahindra Bolero Power,Mahindra,2019,800000,15000,Diesel,Individual,Manual,First Owner
186,Maruti Zen D,Maruti,2003,75000,100000,Diesel,Individual,Manual,Second Owner
187,Volkswagen Vento Celeste,Volkswagen,2016,650000,70000,Diesel,Individual,Automatic,First Owner
188,Maruti Eeco 7,Maruti,2017,390000,24000,Petrol,Individual,Manual,First Owner
189,Honda City 1.5,Honda,2005,100000,120000,Petrol,Individual,Manual,Second Owner
190,Mercedes-Benz New C-Class,Mercedes-Benz,2013,1500000,35000,Diesel,Individual,Automatic,First Owner
191,Maruti SX4 Zxi,Maruti,2007,175000,78380,Petrol,Individual,Manual,First Owner
192,Renault Duster 110PS,Renault,2012,434999,110000,Diesel,Individual,Manual,Second Owner
193,Ford Figo Diesel,Ford,2010,170000,90000,Diesel,Individual,Manual,Third Owner
194,Ford Figo Diesel,Ford,2011,190000,90000,Diesel,Individual,Manual,Third Owner
195,Maruti Swift Dzire,Maruti,2009,250000,150000,Diesel,Individual,Manual,Third Owner
196,Mahindra Xylo E4,Mahindra,2009,229999,230000,Diesel,Individual,Manual,Third Owner
197,Maruti Esteem Vxi,Maruti,2006,140000,70000,Petrol,Individual,Manual,Third Owner
198,Maruti Swift VDI,Maruti,2017,600000,80362,Diesel,Individual,Manual,First Owner
199,Hyundai i20 1.2,Hyundai,2012,280000,110000,Petrol,Individual,Manual,Third Owner
200,Chevrolet Beat Diesel,Chevrolet,2012,150000,60000,Diesel,Individual,Manual,First Owner
201,Chevrolet Cruze LTZ,Chevrolet,2015,650000,50000,Diesel,Individual,Automatic,First Owner
202,Nissan Micra XL,Nissan,2014,210000,40000,Petrol,Individual,Manual,Second Owner
203,BMW 5 Series,BMW,2017,2900000,40000,Diesel,Individual,Automatic,First Owner
204,Chevrolet Enjoy 1.3,Chevrolet,2013,425000,20000,Diesel,Dealer,Manual,First Owner
205,Hyundai EON Era,Hyundai,2014,265000,55000,Petrol,Dealer,Manual,First Owner
206,Fiat Linea T,Fiat,2018,890000,1136,Petrol,Dealer,Manual,First Owner
207,Renault Scala RxL,Renault,2013,365000,55000,Petrol,Dealer,Manual,First Owner
208,Ford Figo Petrol,Ford,2014,350000,43000,Petrol,Dealer,Manual,First Owner
209,Maruti Ciaz ZDi,Maruti,2016,685000,60000,Diesel,Individual,Manual,First Owner
210,Skoda Rapid 1.5,Skoda,2018,940000,2650,Diesel,Dealer,Manual,First Owner
211,Mahindra XUV500 W6,Mahindra,2017,1000000,40000,Diesel,Individual,Manual,First Owner
212,Mahindra XUV300 W8,Mahindra,2019,1150000,15000,Petrol,Dealer,Manual,First Owner
213,Maruti Ertiga SHVS,Maruti,2016,450000,115962,Diesel,Individual,Manual,Second Owner
214,Nissan Terrano XE,Nissan,2015,590000,65000,Diesel,Dealer,Manual,First Owner
215,Maruti S-Cross Facelift,Maruti,2017,800000,40000,Diesel,Individual,Manual,First Owner
216,Hyundai i20 Magna,Hyundai,2012,385000,58000,Diesel,Dealer,Manual,First Owner
217,Mercedes-Benz New C-Class,Mercedes-Benz,2013,2000000,15000,Diesel,Individual,Automatic,First Owner
218,Hyundai EON Era,Hyundai,2012,235000,54000,Petrol,Dealer,Manual,First Owner
219,Volkswagen Ameo 1.5,Volkswagen,2017,640000,56000,Diesel,Dealer,Manual,First Owner
220,Maruti Alto LX,Maruti,2006,52000,120000,Petrol,Individual,Manual,Third Owner
221,Maruti Omni LPG,Maruti,2009,80000,90000,LPG,Individual,Manual,Second Owner
222,Maruti Alto LX,Maruti,2012,140000,70000,Petrol,Individual,Manual,Second Owner
223,Hyundai Verna i,Hyundai,2008,120000,90000,Petrol,Individual,Manual,Second Owner
224,Mahindra Renault Logan,Mahindra,2008,89999,213000,Diesel,Individual,Manual,First Owner
225,Chevrolet Optra Magnum,Chevrolet,2012,180000,120000,Diesel,Individual,Manual,First Owner
226,Mahindra Scorpio S11,Mahindra,2017,1500000,20000,Diesel,Individual,Manual,First Owner
227,Hyundai i20 Active,Hyundai,2017,700000,10000,Petrol,Individual,Manual,First Owner
228,Maruti SX4 Celebration,Maruti,2012,285000,80000,Diesel,Individual,Manual,Second Owner
229,Hyundai Grand i10,Hyundai,2015,390000,90000,Petrol,Individual,Manual,First Owner
230,Maruti Alto LXi,Maruti,2008,125000,80000,Petrol,Individual,Manual,First Owner
231,Maruti SX4 Zxi,Maruti,2008,225000,60000,Petrol,Individual,Manual,Second Owner
232,Hyundai i10 Era,Hyundai,2011,175000,139000,Petrol,Individual,Manual,Second Owner
233,Toyota Innova 2.5,Toyota,2011,1075000,160000,Diesel,Individual,Manual,Second Owner
234,Honda Mobilio V,Honda,2014,300000,150000,Diesel,Individual,Manual,First Owner
235,Toyota Innova 2.5,Toyota,2010,700000,163000,Diesel,Individual,Manual,Fourth & Above Owner
236,Tata Indica V2,Tata,2009,90000,120000,Diesel,Dealer,Manual,First Owner
237,Tata Indica Vista,Tata,2011,120000,120000,Diesel,Individual,Manual,Second Owner
238,Chevrolet Beat Diesel,Chevrolet,2012,220000,100000,Diesel,Individual,Manual,Second Owner
239,Tata Zest Quadrajet,Tata,2015,300000,140000,Diesel,Dealer,Manual,First Owner
240,Skoda Fabia 1.2L,Skoda,2010,180000,87000,Diesel,Dealer,Manual,Second Owner
241,Maruti 800 Std,Maruti,2013,170000,70000,Petrol,Individual,Manual,First Owner
242,Ford Figo Petrol,Ford,2015,300000,50000,Petrol,Individual,Manual,Second Owner
243,Toyota Innova 2.5,Toyota,2014,1050000,70000,Diesel,Individual,Manual,First Owner
244,Honda Mobilio V,Honda,2014,300000,150000,Diesel,Individual,Manual,First Owner
245,Hyundai Grand i10,Hyundai,2018,465000,25000,Diesel,Individual,Manual,First Owner
246,Chevrolet Beat Diesel,Chevrolet,2011,130000,80000,Diesel,Individual,Manual,Second Owner
247,Datsun GO Plus,Datsun,2018,434999,10000,Petrol,Individual,Manual,First Owner
248,Hyundai Grand i10,Hyundai,2018,500000,32000,Petrol,Individual,Manual,First Owner
249,Maruti Omni MPI,Maruti,2018,200000,10000,Petrol,Individual,Manual,First Owner
250,Maruti Baleno Alpha,Maruti,2017,625000,52000,Petrol,Dealer,Manual,First Owner
251,Ford Fiesta Classic,Ford,2006,110000,120000,Diesel,Individual,Manual,Third Owner
252,Hyundai Elite i20,Hyundai,2019,800000,11240,Petrol,Individual,Manual,First Owner
253,Hyundai Grand i10,Hyundai,2017,490000,66000,Diesel,Dealer,Manual,First Owner
254,Maruti Ertiga SHVS,Maruti,2017,880000,64000,Diesel,Dealer,Manual,First Owner
255,Hyundai Santro Xing,Hyundai,2013,290000,49000,Petrol,Individual,Manual,First Owner
256,Tata Sumo GX,Tata,2006,115999,100000,Diesel,Individual,Manual,Second Owner
257,Renault KWID RXT,Renault,2018,360000,26500,Petrol,Individual,Manual,First Owner
258,Maruti 800 AC,Maruti,2002,65000,100000,Petrol,Individual,Manual,Second Owner
259,Maruti Vitara Brezza,Maruti,2017,685000,72000,Diesel,Dealer,Manual,First Owner
260,Honda Jazz S,Honda,2009,300000,50000,Petrol,Individual,Manual,First Owner
261,Hyundai i20 1.4,Hyundai,2017,680000,44000,Diesel,Dealer,Manual,First Owner
262,Maruti Ertiga SHVS,Maruti,2017,1000000,60000,Diesel,Individual,Manual,Second Owner
263,Tata Sumo SE,Tata,2002,100000,120000,Diesel,Individual,Manual,First Owner
264,Mahindra Xylo E4,Mahindra,2010,160000,130000,Diesel,Individual,Manual,First Owner
265,Maruti Swift ZDi,Maruti,2017,450000,70000,Diesel,Individual,Manual,First Owner
266,Maruti Ertiga VXI,Maruti,2014,600000,20000,Petrol,Individual,Manual,First Owner
267,Hyundai i20 1.4,Hyundai,2009,180000,60000,Diesel,Individual,Manual,Second Owner
268,Maruti Alto LXi,Maruti,2007,100000,195000,Petrol,Individual,Manual,First Owner
269,Maruti Alto LXi,Maruti,2010,120000,90000,Petrol,Individual,Manual,Second Owner
270,Hyundai Getz GL,Hyundai,2006,130000,80000,Petrol,Individual,Manual,Third Owner
271,Maruti Wagon R,Maruti,2011,160000,155000,Petrol,Individual,Manual,First Owner
272,Mahindra Bolero Power,Mahindra,2019,860000,35000,Diesel,Individual,Manual,First Owner
273,Hyundai i20 1.2,Hyundai,2018,650000,20000,Petrol,Individual,Manual,Second Owner
274,Maruti Wagon R,Maruti,2010,100000,80000,Petrol,Individual,Manual,Second Owner
275,Maruti Alto 800,Maruti,2017,282000,20000,Petrol,Individual,Manual,First Owner
276,Hyundai i20 Asta,Hyundai,2009,300000,50000,Petrol,Individual,Manual,First Owner
277,Hyundai i20 Asta,Hyundai,2010,270000,110000,Petrol,Individual,Manual,Second Owner
278,Hyundai Verna 1.6,Hyundai,2013,550000,29000,Diesel,Individual,Manual,First Owner
279,Mahindra Xylo D2,Mahindra,2013,450000,120000,Diesel,Individual,Manual,First Owner
280,Mahindra Bolero SLX,Mahindra,2011,430000,70000,Diesel,Individual,Manual,Second Owner
281,Maruti Ertiga VXI,Maruti,2013,350000,40000,Petrol,Individual,Manual,First Owner
282,Honda Brio 1.2,Honda,2017,350000,20000,Petrol,Individual,Manual,First Owner
283,Toyota Etios Liva,Toyota,2013,229999,50000,Petrol,Individual,Manual,Second Owner
284,Maruti Alto 800,Maruti,2013,110000,50000,Petrol,Individual,Manual,First Owner
285,Maruti Swift Dzire,Maruti,2012,395000,49000,Petrol,Individual,Manual,Second Owner
286,Mahindra Scorpio VLS,Mahindra,2011,650000,70000,Diesel,Individual,Automatic,Second Owner
287,Mahindra Bolero SLX,Mahindra,2011,350000,90000,Diesel,Individual,Manual,Second Owner
288,Mahindra XUV500 W11,Mahindra,2020,1400000,25000,Diesel,Dealer,Manual,First Owner
289,Tata Tiago 1.2,Tata,2018,360000,4000,Petrol,Individual,Manual,First Owner
290,Mahindra Marazzo M8,Mahindra,2018,1300000,10000,Diesel,Individual,Manual,First Owner
291,Renault Duster 110PS,Renault,2015,800000,15000,Diesel,Individual,Manual,First Owner
292,Hyundai EON Magna,Hyundai,2018,229999,30000,Petrol,Individual,Manual,First Owner
293,Maruti Wagon R,Maruti,2014,315000,41000,Petrol,Dealer,Manual,First Owner
294,Chevrolet Spark 1.0,Chevrolet,2012,125000,28000,Petrol,Individual,Manual,First Owner
295,Maruti Baleno Alpha,Maruti,2019,700000,16000,Petrol,Individual,Manual,First Owner
296,Hyundai EON 1.0,Hyundai,2015,160000,70000,Petrol,Individual,Manual,First Owner
